date,CU,AL,ZN,NI
2016-05-17,0.33293806486759625,0.2634697489614425,0.19974713592533608,0.20384505024562521
2016-05-18,0.3332614688140117,0.2630037860552198,0.20043135114874105,0.2033033939820275
2016-05-19,0.33044760962530495,0.26467959649825923,0.20321420297839024,0.20165859089804564
2016-05-20,0.32555634738268674,0.26456237730630217,0.21073252969268083,0.1991487456183304
2016-05-23,0.32981446690079624,0.26396000913004697,0.2096516691035733,0.19657385486558354
2016-05-24,0.3280840319117195,0.2640620437619296,0.21169778307091355,0.1961561412554375
2016-05-25,0.3306374336637144,0.26416032423296576,0.20885357115156097,0.1963486709517589
2016-05-26,0.32475787214241414,0.28077018433872486,0.20468441734593557,0.18978752617292527
2016-05-27,0.32311475067523593,0.27995769717435737,0.2076064015178183,0.18932115063258845
2016-05-30,0.3224367562064423,0.28531122013636795,0.2029273304525551,0.1893246932046347
2016-05-31,0.32251347561958427,0.2852169256496423,0.20305662644935885,0.18921297228141476
2016-06-01,0.3230284753334871,0.28461914575246355,0.2034477104099079,0.18890466850414162
2016-06-02,0.3235743691237521,0.2844641911213251,0.20316618330671576,0.18879525644820702
2016-06-03,0.32308528933375263,0.2838661881217907,0.20419710584572123,0.18885141669873556
2016-06-06,0.32474335906132373,0.28543877803369466,0.19996505301917256,0.18985280988580897
2016-06-07,0.32249414295267426,0.28562541529456437,0.20161922717733402,0.19026121457542738
2016-06-08,0.3238404169624842,0.28425859890367794,0.20198983223046713,0.18991115190337063
2016-06-13,0.3220315531212094,0.2848713699000367,0.20270390898327548,0.1903931679954786
2016-06-14,0.32857542081982216,0.28147871575992145,0.20188225808000584,0.18806360534025057
2016-06-15,0.32822727517643907,0.2818583952140539,0.20192402336174253,0.18799030624776455
2016-06-16,0.3297778298669157,0.28146575027286325,0.2010178375483333,0.18773858231188773
2016-06-17,0.3293021261334482,0.28191132083589576,0.20093019907327117,0.18785635395738487
2016-06-20,0.33023506833403843,0.2816501395356562,0.20051426316068074,0.18760052896962467
2016-06-21,0.3395273663254171,0.27774557137736705,0.19829624976422586,0.18443081253299007
2016-06-22,0.3399760424786714,0.27744634712572014,0.1984648776384654,0.184112732757143
