date,TA,RU,V
2021-04-19,0.25284516548225805,0.30350712257062545,0.44364771194711644
2021-04-20,0.2527686051166201,0.303554274615588,0.4436771202677919
2021-04-21,0.2523582972703223,0.3053133568689845,0.4423283458606933
2021-04-22,0.25365589757877327,0.3020824511344315,0.4442616512867952
2021-04-23,0.24601179505620616,0.328684355333207,0.4253038496105868
2021-04-26,0.2477807692044662,0.3371554677287976,0.41506376306673626
2021-04-27,0.23722657931782398,0.3670960046996809,0.3956774159824952
2021-04-28,0.23910715950133982,0.3618661268018092,0.399026713696851
2021-04-29,0.23701417618521944,0.3620352512778634,0.4009505725369172
2021-04-30,0.2358553448813504,0.35966917770108825,0.4044754774175614
2021-05-06,0.23640702195860816,0.3587115600833606,0.4048814179580312
2021-05-07,0.2360354808583398,0.3587223088318964,0.4052422103097639
2021-05-10,0.23934774858497837,0.35073265503990997,0.4099195963751117
2021-05-11,0.23994043122616343,0.3505889562560085,0.4094706125178281
2021-05-12,0.23982754029727665,0.3459190663272396,0.4142533933754838
2021-05-13,0.23978811871536693,0.3287345119121617,0.4314773693724715
2021-05-14,0.24042238650383632,0.32837438334560404,0.4312032301505597
2021-05-17,0.2428176421657085,0.3112121528711768,0.4459702049631147
2021-05-18,0.24139921930721342,0.2981168827420785,0.4604838979507081
2021-05-19,0.23897941989027094,0.2947737896635847,0.4662467904461444
2021-05-20,0.2371819593824582,0.2955811681509684,0.46723687246657336
2021-05-21,0.23645242499037458,0.2939315499264123,0.4696160250832131
2021-05-24,0.2372988550718324,0.29178983314081275,0.47091131178735485
2021-05-25,0.2389959969860052,0.28710960741707414,0.4738943955969206
2021-05-26,0.2381154274492448,0.28612747033459773,0.47575710221615747
2021-05-27,0.2379698263550823,0.2860400439465133,0.47599012969840443
2021-05-28,0.23721227577254878,0.28499919685440006,0.4777885273730512
2021-05-31,0.23711233885707006,0.2847023771398948,0.4781852840030351
2021-06-01,0.23214939134929685,0.2793817039655915,0.48846890468511167
